epoch,train_loss,val_loss,train_mse,train_kl,beta
1,1.2785175804631623,0.006432711213294949,0.01206532740404225,207495.53852895275,0.1
2,0.005643858606711227,0.005728450390909399,0.00556441042140521,6.508396811832656,0.2
3,0.005315724293090749,0.005613692623696157,0.005206859849442709,5.945449874890561,0.3
4,0.005239887335738599,0.005615017795935273,0.005104444965732512,5.547719319135148,0.4
5,0.005196407961578954,0.005572562085996781,0.005037637977916377,5.202575206756592,0.5
6,0.005177245305740083,0.005493394458400352,0.0049965818526704385,4.9333166444538445,0.6
7,0.005169084764375592,0.005381016147189907,0.004966337514412127,4.745444228317564,0.7
8,0.005172362857936135,0.005420811494280185,0.004947909827819032,4.596798168902366,0.8
9,0.00517154209599491,0.005380507911156331,0.004925817752331002,4.473275222525691,0.9
10,0.0051728698181370825,0.005414759706971901,0.004907668241305857,4.345062612697778,1.0
11,0.00515562792567672,0.005539557111582586,0.004889027699704794,4.367977757327604,1.0
12,0.005127657619644179,0.005410763574764133,0.0048595507373256205,4.392663175696569,1.0
13,0.005111000425065097,0.005404194051932011,0.004840829904616767,4.426473886761444,1.0
14,0.005086369026106912,0.0053448135565434185,0.004815145329393397,4.4437291211639804,1.0
15,0.0050581367223813435,0.005469310436663883,0.004784869717816446,4.477206733842559,1.0
16,0.005050298410918045,0.005391561166782464,0.00477445259110521,4.519457974970735,1.0
17,0.005024341900296362,0.005333281468067851,0.004747208241768034,4.540557675803734,1.0
18,0.0050051132469925265,0.005437524576804468,0.004724998114975971,4.589406495852186,1.0
19,0.004994277029748488,0.005377745608400021,0.004711291993295909,4.636426943027421,1.0
20,0.004973250905372548,0.0053650239149906805,0.00468712397357634,4.687903742127071,1.0
21,0.004950768184780285,0.005366263751472746,0.00466331006459497,4.709713665854852,1.0
22,0.004930317047243284,0.0054094956988202676,0.004641257870991696,4.735945677915156,1.0
23,0.004907407549623128,0.005364779037024293,0.004616574062009817,4.765015777373156,1.0
24,0.004884152904473591,0.005406151226322565,0.004590801034270731,4.806277057192973,1.0
25,0.004868835562359023,0.00543842509921108,0.004572058734884917,4.862391512914999,1.0
26,0.004854646363351124,0.0054407288320362564,0.004558381998436587,4.853995345286187,1.0
27,0.004823372235200954,0.005510749022609421,0.00452400697857783,4.904800340829306,1.0
28,0.0048163643735923516,0.005433477268421224,0.004515270785804814,4.933117438625816,1.0
29,0.00479719511523152,0.005395578173920512,0.004491321037104045,5.011440809199352,1.0
30,0.004772500872044571,0.005497796055195587,0.004463599470524203,5.061040521457495,1.0
31,0.00476404032145707,0.00540827470831573,0.004456012354028837,5.046730445710239,1.0
32,0.004753361227891303,0.005539510365841644,0.004442180520762375,5.098384421392782,1.0
33,0.004730620908717446,0.005473330643560205,0.0044194845920613665,5.097657333146658,1.0
34,0.0047170560967349845,0.005490659190607923,0.004402542597034465,5.152989180672248,1.0
35,0.004705136091392857,0.005523177542324577,0.004389663088129253,5.168709732838813,1.0
36,0.004692080978069775,0.005559817116175379,0.004376942074444417,5.163235886996945,1.0
37,0.004688433354523107,0.005606664650674377,0.004370272681517958,5.212744406516978,1.0
38,0.004669601205637716,0.005652589590421745,0.004350879420803872,5.221937860084685,1.0
39,0.004659648192121296,0.00559395719319582,0.004339787297240699,5.240600786461735,1.0
40,0.004654086572704035,0.005570481757500342,0.004334119205603635,5.242345464150637,1.0
41,0.004637845090300535,0.00559319748676249,0.004316543046977149,5.264212581495576,1.0
42,0.004642197828345148,0.005522877177489656,0.0043182094189776294,5.308225942763272,1.0
43,0.004621665008884195,0.005592659967286247,0.004298478739632182,5.295083805425278,1.0
44,0.0046152506002058455,0.005634485803810613,0.004290404862150649,5.322272542296656,1.0
45,0.004612685429450396,0.005773539595039828,0.00428726744918239,5.331648506076131,1.0
46,0.0046046171167754375,0.005564893549308181,0.004277047907797904,5.366893888309302,1.0
47,0.004601971923207111,0.005627639272383281,0.004273374830927724,5.38373487043065,1.0
48,0.004596861344546277,0.005626308592036366,0.004268229336921891,5.384306857128017,1.0
49,0.004584486753562626,0.005617838419441666,0.004254156124580725,5.412136856293836,1.0
50,0.004573060150276746,0.00567550309933722,0.004241596284439627,5.430704138926323,1.0
