epoch,train_loss,val_loss,val_dice
1,0.18741355731540563,0.09710682388395071,0.9446017716125761
2,0.08326774797038428,0.06966308392584324,0.9600749987153021
3,0.06853433251257567,0.06252803853047746,0.9633100046075583
4,0.0642416051046195,0.06467425400125129,0.9629520549477313
5,0.059834667182348616,0.06345233068402324,0.962799385835766
6,0.05702505538252411,0.05702600018786533,0.9664667879377687
7,0.05450326170069197,0.06024942799870457,0.9646152427028251
8,0.04984465360160399,0.05533396830516202,0.9672935237787353
9,0.047036440756221286,0.05715931087200131,0.9666283556938433
10,0.044040073918191015,0.05454795315329518,0.9679378454858588
11,0.041588061960993815,0.055506880568074325,0.9675935627559662
12,0.03963551432239693,0.05658284655905196,0.9674086140075424
13,0.03819265599140515,0.05963355199034725,0.9660963507264254
14,0.037040476099779174,0.054772661692862,0.9687618955916327
15,0.03613003316514243,0.05505385795342071,0.9686190015054703
16,0.034703256799808596,0.05527402457914182,0.9686756998024858
17,0.03430479506049182,0.054647540780050415,0.969080982821963
18,0.03339469161297855,0.054665067831852605,0.9691071524131676
19,0.0325064676326533,0.05598204040101596,0.9688146716322169
20,0.0320213153458737,0.057391209102102686,0.9686818567987204
21,0.031402507685865,0.05815784830067839,0.9686056849560063
22,0.03056243992725153,0.057008661382964676,0.9691737009177356
23,0.030203359457509998,0.0557546797208488,0.9696457916773472
24,0.02948907992666871,0.056677366473845074,0.9695466939141992
25,0.029197631010613,0.056020319355385644,0.9698423604276324
26,0.02863483800743984,0.056303073731916294,0.9698527050541822
27,0.02801443913192889,0.057691643945872784,0.9694401530298348
28,0.027701564797736854,0.05890115260013512,0.969163684967269
29,0.027173592005887173,0.05757959930758391,0.9698126897123673
30,0.026977473485980504,0.05799698724544474,0.9694583876482019
31,0.026773161880844675,0.059349180478602645,0.969214307286783
32,0.02615189265354925,0.05871422391917024,0.9697045116839277
33,0.02584736413532091,0.060810225922614335,0.9690735779318979
34,0.025591153409393715,0.059517842451376576,0.969243185274845
35,0.02515993764105913,0.05903798871274505,0.9697533990048429
36,0.02499521938954412,0.05895807868135827,0.9700902033061675
