epoch,critic_loss,wasserstein_gap,gradient_penalty,gradient_norm,real_score,fake_score,generator_loss,critic_updates,generator_updates
1,-187.0566708615284,304.52317995781016,11.746650925954643,4.140114832623238,395.8807336307944,91.35755399799449,-135.40107183549247,302,61
2,-76.56101480698743,114.1677227399207,3.7606708115299807,2.8821401284230466,277.65376610155926,163.48604336163856,-170.37151836958088,302,61
3,-43.962234080232534,62.06567938596208,1.8103445209809486,2.3009339724944917,179.74100734382276,117.67532795786069,-117.32086097216997,302,61
4,-26.493570851963877,34.80734547242424,0.8313774662894129,1.8898966786087743,141.80041604957833,106.9930705771541,-109.30874502463419,302,61
5,-20.198772278842547,25.60895501698879,0.541018275531712,1.71256870347143,100.64925676307931,75.04030174609052,-75.22381623064885,302,61
6,-16.75781624206644,20.84257411956787,0.40847578782908966,1.6127341587022441,69.4875148874245,48.644940767856625,-46.832163732559955,302,61
7,-15.335191341425409,18.820659005878777,0.3485467689518897,1.5599037882508031,54.32849969927049,35.50784068076026,-34.761547416937155,302,61
8,-15.191303098438592,18.675975966927233,0.34846729094421625,1.5566855819020051,44.746059101938414,26.07008313659011,-24.288587945406555,302,61
9,-14.14958498493725,17.33592744536747,0.3186342467535411,1.5341645581832786,37.17165974118062,19.835732317918183,-18.658713411112302,302,61
10,-12.604505286311472,15.246318337143652,0.26418130385954647,1.488487870093213,26.61930028650145,11.37298196122445,-11.785394105754914,302,61
11,-10.92326489821175,12.984967364380692,0.20617024797872202,1.430716541429229,20.718132284303376,7.733164938129732,-7.161923383591605,302,61
12,-9.413167847702836,11.028828391965652,0.1615660556203482,1.381072860679879,16.16585552001631,5.137027123165841,-4.146103054285049,302,61
13,-8.063208827909255,9.304655585067952,0.124144677368813,1.3348984307800698,12.60960857836616,3.3049530117519645,-2.691256329172947,302,61
14,-6.965858075792426,7.9224851273542996,0.09566270373761654,1.2977486659359458,10.285250250866872,2.3627651157165994,-1.8991890532560036,302,61
15,-6.291409959856248,7.0909840476433965,0.07995740763398985,1.2724282141552856,10.772096348124624,3.681112303392382,-2.862140043470703,302,61
16,-5.816167263005743,6.509373176966282,0.0693205909939199,1.252447437766372,11.318077095297,4.808703923856975,-4.207710970132077,302,61
17,-5.331810238345569,5.933065654426221,0.060125541336686406,1.235378083409063,10.556393227681813,4.623327577893702,-3.482898594903164,302,61
18,-5.046563342707047,5.58017588214369,0.053361255169802946,1.2216739709803601,9.348864484306992,3.7686886090094482,-2.88981913482068,302,61
19,-4.817840007756719,5.315603950165755,0.04977639451845,1.2139403973983613,8.04776800843264,2.7321640608326487,-2.141943953076347,302,61
20,-4.636003465052472,5.09567774131598,0.045967427637452714,1.205724936447396,7.6786464411296596,2.5829687004057775,-1.826017717968245,302,61
21,-4.48137580322114,4.920984715025946,0.043960890282463555,1.2008894835876314,7.697822693167933,2.776837976205329,-1.8302504669447415,302,61
22,-4.292044590640542,4.700788807395278,0.04087442023346558,1.192631695049488,7.225806416758639,2.525017611682415,-1.7506099826976902,302,61
23,-4.141631433505886,4.524933819739235,0.038330237634035924,1.185955359446292,7.004454527370977,2.4795207038077693,-2.01313563295808,302,61
24,-4.002530405063503,4.366515532234646,0.03639851299281053,1.1813021566694146,6.7019026583393675,2.3353871205537917,-1.5556509460582109,302,61
25,-3.844174917960009,4.181436533959496,0.03372616105595764,1.174133447227099,6.282840571360083,2.1014040493412525,-1.5587913601613435,302,61
26,-3.75472398862144,4.075561438964693,0.03208374550923804,1.169851218627778,6.292071874568005,2.2165104333459342,-1.187033148329766,302,61
27,-3.593234227982578,3.8895325952807798,0.029629837163409452,1.1633062978453983,6.154510635931958,2.2649780353099502,-1.5101548452846338,302,61
28,-3.4904484038321386,3.77256485089561,0.0282116444281839,1.1591158742146777,5.412787380190381,1.640222531552149,-1.273014905755637,302,61
29,-3.438030548048335,3.711094987313479,0.027306443354768666,1.1563399295933199,5.39072097344509,1.6796259837138732,-1.1539771267991574,302,61
30,-3.346390154582775,3.609521163220437,0.026313101545913726,1.1533602926115327,5.202894116474303,1.5933729504784013,-1.2479422197478716,302,61
31,-3.271787999086822,3.52035822299932,0.024857022802635336,1.1488894093905064,4.987186506069851,1.4668282851305425,-0.9514404531629359,302,61
32,-3.1844503469025063,3.4225773100821386,0.023812696686174892,1.1456948246387457,4.973331650213296,1.5507543371829964,-0.8521585763722169,302,61
33,-3.1836520978157092,3.425972337359624,0.024232023784162983,1.1468721971606577,5.2171165724315784,1.7911442345291968,-1.2878942372368984,302,61
34,-3.1321104314943025,3.3669905094121466,0.02348800723607473,1.1444932956569243,4.694618441016469,1.3276279360944072,-0.6152114057150043,302,61
35,-3.0524323330020273,3.27122369270451,0.021879135849978158,1.1395614751127383,4.27534021153454,1.0041165175409803,-0.8651156476775154,302,61
36,-3.0228406530342355,3.2407139760768966,0.021787333126420415,1.1392478299456716,3.6481493084586614,0.40743533490435374,0.003780100067130855,302,61
37,-3.013625191931693,3.236590891484393,0.022296570036375266,1.1401816018369815,2.870442213848332,-0.36614867668623563,0.6203497836335761,302,61
38,-2.931315135284765,3.137827285078188,0.020651214688226876,1.1354369536930362,3.5459607903728423,0.40813349776389385,0.40477460867068804,302,61
39,-2.91363736059492,3.11864920957199,0.02050118490325793,1.134667231547122,3.0493880923319336,-0.06926111386015715,0.7411240987846108,302,61
40,-2.86120299235085,3.0606871199923633,0.01994841194107191,1.1322898675274375,2.8864434972060042,-0.1742436211580867,1.0245609859340503,302,61
41,-2.806168988051004,2.9968531644896954,0.019068417617348055,1.129667695389678,2.7480940712948905,-0.24875909445918357,0.844495278767875,302,61
42,-2.8011984813292297,2.9933638391115807,0.019216536656823872,1.1297833844525924,2.3599285791005125,-0.6334352619970673,1.071044605469606,302,61
43,-2.7915361326261863,2.983153527935609,0.019161739468340152,1.1297858874529403,1.7480933679798185,-1.2350601557740906,2.0004542789986877,302,61
44,-2.752022697929515,2.9384640028934603,0.018644130424849244,1.1279919561960838,1.598146879145049,-1.340317121133307,1.5472996779641166,302,61
45,-2.752750276828444,2.9404091029767168,0.01876588304379079,1.1281258092810775,1.494108211865883,-1.4463008972538622,1.989311117373529,302,61
46,-2.729070269508867,2.9124677757553705,0.01833975049574545,1.1267163903507966,1.5636481849217652,-1.3488195940531444,1.7534207357246367,302,61
47,-2.638690293624701,2.808244673226843,0.01695543729595297,1.1213760458870439,1.7070292303499006,-1.101215441137651,1.5359098774487856,302,61
48,-2.676298779367611,2.8553341686330884,0.01790353933978357,1.124786417610598,1.0897288869893709,-1.765605281224314,2.112596909652968,302,61
