epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr,epoch_seconds,elapsed_seconds
1,3.8434457778930664,0.10011111199855804,,,0.4,11.785620685201138,11.98697499325499
2,2.305135488510132,0.0994444489479065,,,0.39990131207314633,1.6743576899170876,13.661422702018172
3,2.304388999938965,0.10017777979373932,,,0.3996053456856543,1.5949923931621015,15.256801358424127
4,2.3027846813201904,0.10164444893598557,,,0.399112392920616,1.6014671181328595,16.85832996107638
5,2.2998204231262207,0.10588888823986053,2.302438259124756,0.10439999401569366,0.3984229402628956,3.187568892724812,20.045962914358824
6,2.284662961959839,0.11957778036594391,,,0.3975376681190275,1.6203948822803795,21.666449557058513
7,2.068221092224121,0.19855555891990662,,,0.39645745014573774,1.6325573460198939,23.299063669983298
8,1.9155642986297607,0.22760000824928284,,,0.3951833523877495,1.6337350117973983,24.93285999633372
9,1.7496585845947266,0.30917778611183167,,,0.3937166322257262,1.63909709174186,26.572034473065287
10,1.6341944932937622,0.36517778038978577,1.6406630277633667,0.35999998450279236,0.39205873713538864,2.8059115959331393,29.378002194222063
11,1.4686317443847656,0.4376666843891144,,,0.39021130325903075,1.6403160751797259,31.01838954212144
12,1.3046660423278809,0.512066662311554,,,0.38817615379084514,1.6461172583512962,32.66455809632316
13,1.1492046117782593,0.5818889141082764,,,0.3859552971776503,1.647259206045419,34.311870192177594
14,0.9977121353149414,0.6421555876731873,,,0.38355092513679623,1.6469533843919635,35.958899297285825
15,0.8992730975151062,0.6804888844490051,0.9321811199188232,0.6723999977111816,0.3809654104932039,2.789594260044396,38.74857271602377
16,0.7772533297538757,0.7275111079216003,,,0.3782013048376736,1.643774121068418,40.392414754256606
17,0.7077502012252808,0.7544000148773193,,,0.37526133600877276,1.6499493839219213,42.04241811810061
18,0.6498468518257141,0.7759333252906799,,,0.3721484054007888,1.6502235881052911,43.69269627798349
19,0.6008087992668152,0.7930444478988647,,,0.3688655851004031,1.650603058282286,45.3433669032529
20,0.5727003812789917,0.8044000267982483,0.8945098519325256,0.6922000050544739,0.3654161148549125,2.8119319989345968,48.15535467630252
21,0.5377015471458435,0.8170444369316101,,,0.36180339887498963,1.6476442669518292,49.8030643761158
22,0.5255700349807739,0.8189111351966858,,,0.3580310024751382,1.6523369448259473,51.45545547315851
23,0.5053255558013916,0.8259111046791077,,,0.354102648555158,1.6545496587641537,53.11005541542545
24,0.481712281703949,0.835111141204834,,,0.35002221392609206,1.6541550192050636,54.764261349104345
25,0.46897244453430176,0.8386222124099731,0.7354060411453247,0.7489999532699585,0.34579372548428244,2.818769082427025,57.58308584522456
26,0.4544999599456787,0.8435778021812439,,,0.3414213562373096,1.6494148331694305,59.23259253008291
27,0.44770127534866333,0.8465111255645752,,,0.33690942118573786,1.6540653808042407,60.886711161118
28,0.4248669445514679,0.8545777797698975,,,0.3322623730647305,1.653735855128616,62.54049932397902
29,0.4172632396221161,0.8580222129821777,,,0.32748479794973806,1.6566034820862114,64.19715618621558
30,0.4095151424407959,0.8596667051315308,0.7604691386222839,0.7712000012397766,0.32258141073059543,2.797067599836737,66.9942791601643
31,0.40233394503593445,0.8623555898666382,,,0.3175570504584948,1.6513087069615722,68.6456624371931
32,0.3859965205192566,0.8665778040885925,,,0.3124166755704263,1.6561884749680758,70.3019036911428
33,0.37324053049087524,0.8731111288070679,,,0.30716535899579944,1.6545027787797153,71.95648350426927
34,0.3725523054599762,0.8712666630744934,,,0.3018082831500744,1.6570127778686583,73.61355116637424
35,0.35639163851737976,0.8767333626747131,1.0508942604064941,0.7059999704360962,0.2963507348203432,1.7229230469092727,75.3365284553729
36,0.3505881428718567,0.8793333172798157,,,0.2907980999479095,1.657241647131741,76.99382438417524
37,0.34728020429611206,0.8794222474098206,,,0.28515585831301465,1.6581651670858264,78.6520422291942
38,0.3344147503376007,0.8869110941886902,,,0.27942957812695624,1.660251502878964,80.31234838534147
39,0.3297220766544342,0.8854444622993469,,,0.2736249105369358,1.6566346199251711,81.96903874911368
40,0.31681254506111145,0.8912000060081482,0.5986466407775879,0.8175999522209167,0.26774758404905846,2.7816317272372544,84.7507234653458
41,0.31286585330963135,0.8914444446563721,,,0.26180339887498966,1.65466931136325,86.40546876797453
42,0.31148001551628113,0.8916000127792358,,,0.25579822120784607,1.6597865731455386,88.06530734803528
43,0.2948712408542633,0.8993333578109741,,,0.2497379774329711,1.660574789159,89.7259362381883
44,0.3050352931022644,0.8933333158493042,,,0.24362864827930872,1.657879841979593,91.38386933039874
45,0.2863627076148987,0.9021333456039429,0.6632195711135864,0.7913999557495117,0.23747626291714513,1.725909449160099,93.10986262699589
46,0.2744387686252594,0.906333327293396,,,0.23128689300804636,1.6611444549635053,94.7710849782452
47,0.2753407657146454,0.9059111475944519,,,0.22506664671286106,1.6612078351899981,96.4323450201191
48,0.2633305788040161,0.909600019454956,,,0.218821662663703,1.6614893008954823,98.09388625901192
