epoch,generator_loss,discriminator_loss
1,0.8382944179489124,0.6446408686653667
2,0.8453735938135362,0.6815922131996281
3,0.9089308945548455,0.6762902045881511
4,1.0535174918095798,0.65497584710058
5,1.3650418383790957,0.610357152705161
6,1.6179865902622803,0.5547749227443278
7,1.6803525044823324,0.5307406447581108
8,1.7735286759619682,0.5075858853115941
9,1.892668791954091,0.4891731609769215
10,1.8659632875035141,0.4900093867091943
11,1.9778223888368796,0.46864474619066476
12,2.0373254299953283,0.44560665099431346
13,2.1572620095006676,0.43456971714433457
14,2.13004193025709,0.4249202116633093
15,2.1595975642172704,0.4296158254146576
16,2.2694416436927995,0.4084578753504532
17,2.3091699473115783,0.3976354548670598
18,2.4100684953841154,0.38032877830085376
19,2.343008331905138,0.3915516391692572
20,2.396283436689945,0.38042917176587693
21,2.4955013485144306,0.36298760791488044
22,2.62205728868775,0.35602380172503706
23,2.610885218673984,0.35341609540759333
24,2.615844712352121,0.3522305651413684
25,2.6194273902485703,0.36609374894606356
26,2.5791562235118537,0.3583152326230971
27,2.5660750715937835,0.3696770224942277
28,2.5089906221193985,0.3502752988148999
29,2.7415362249147024,0.341279224400094
30,2.665402912146208,0.33155241593817214
31,2.709218468887127,0.3357612183749281
32,2.8310794392168916,0.31513632957311655
33,2.8656868393847486,0.319166754699306
34,2.930367103080876,0.31107099003941807
35,2.9431134967614483,0.3018529461511713
36,2.9926677405439466,0.30649698797045954
37,2.9180057498792937,0.32408215357175724
38,2.8013336374270206,0.3275528664620507
39,3.075296534607742,0.301383386680622
40,2.903407923827898,0.31392545253038406
41,2.9057813835459827,0.31181530254763484
42,2.970287425628561,0.30558081005780113
43,3.0268161833681018,0.2947692699385005
44,3.066402719905045,0.29735498781630537
45,3.0786716570917343,0.2897321392368797
46,3.057014069809819,0.2937323936070038
47,3.1495480703202303,0.28668640021062053
48,3.2015819067986597,0.2867679355653706
49,3.069872245488577,0.30190698096886376
50,2.9937148563909215,0.3053522070512077
51,3.126850368566071,0.2890536861111786
52,3.107785265177291,0.29314822886163827
53,3.213359402110245,0.28290916702999974
54,3.2220197600244687,0.2794011967959783
55,3.11043714865154,0.3008870444451736
56,3.0931638909491483,0.2953050778006876
57,3.0542575184083143,0.2853615377715092
58,3.2022198880745085,0.2814441703704019
59,3.150901910879754,0.2873194462909604
60,3.2009111090211677,0.27546810408104333
61,3.288391848668357,0.27396858384869743
62,3.182840582550756,0.2794610085767626
63,3.3215795692229113,0.2613610335631876
64,3.375955176669241,0.26600233406223206
65,3.305354255714164,0.2620547486358131
66,3.3915687779717096,0.26169240479635086
67,3.2684091455889064,0.26720229131693873
68,3.440954656790424,0.2637694193333979
69,3.433177911682634,0.25973489145372086
70,3.3559974155678653,0.2603711319088146
71,3.515179746987804,0.24849588226600988
72,3.4212613034722033,0.25969627262740735
73,3.388063031711326,0.26422115257441603
74,3.405505711077065,0.25616481500548244
75,3.3898649326223413,0.2518157720171063
76,3.461860970550815,0.25705918867066996
77,3.557317891657747,0.24969424583659267
78,3.548774521871908,0.24532855603079132
79,3.505025679307268,0.24779250300088465
80,3.4604923586971714,0.25643906688058615
81,3.5391908726155363,0.24582706421416328
82,3.554067742745608,0.24489051927596528
83,3.4699484646715075,0.2496157938873531
84,3.5648038576770302,0.24421027875104487
85,3.6834885118812917,0.23863417092735403
86,3.603131495958922,0.24484699663539597
87,3.5838407787266156,0.24776863696559376
88,3.630862907068619,0.2399562049583094
89,3.597515070280492,0.2427831662214355
90,3.5440084863182726,0.2473651815625216
91,3.5935955584443957,0.2399140658066762
92,3.7000770521479724,0.23368312235896951
93,3.6761286874480597,0.2423797178248696
94,3.5648651123046875,0.24416102626860536
95,3.6013482931433924,0.24570876137902406
96,3.494297861263452,0.24431970829008431
97,3.6418362623018936,0.24087803174328332
98,3.559164985915683,0.24635817455929637
99,3.645214586068463,0.23418397693247195
100,3.676305907451554,0.23982086604991495
