epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr,epoch_seconds,elapsed_seconds
1,2.110077951388889,0.25806666666666667,1.6769447265625,0.3826,0.1,17.994890239089727,17.994894297327846
2,1.5189079861111112,0.4367333333333333,1.48696181640625,0.4796,0.09997532801828658,6.247971014119685,24.243067351169884
3,1.2704934895833333,0.54,1.08094619140625,0.6134,0.09990133642141358,6.217550100758672,30.460695438086987
4,1.0563542534722221,0.6207111111111111,1.1660009765625,0.5926,0.099778098230154,5.102639561984688,35.56342866597697
5,0.9010400173611111,0.6797777777777778,0.91268330078125,0.6776,0.0996057350657239,6.434142066165805,41.99763305904344
6,0.7799436631944444,0.7266888888888889,0.77978876953125,0.7298,0.09938441702975688,6.207055605016649,48.20476181199774
7,0.6804104600694444,0.7617777777777778,0.85096982421875,0.7186,0.09911436253643444,5.083037220872939,53.2878707270138
8,0.6151944444444445,0.7871555555555556,0.82675009765625,0.7304,0.09879583809693737,6.32983772456646,59.61776786390692
9,0.572421875,0.8012,0.7331791015625,0.763,0.09842915805643156,6.23156168917194,65.84938861429691
10,0.5372474826388889,0.8170444444444445,0.654571826171875,0.779,0.09801468428384716,6.061592409387231,71.91104575525969
11,0.5175809895833333,0.8215333333333333,0.65138759765625,0.7814,0.09755282581475769,6.050862282980233,77.96196913300082
12,0.4977443576388889,0.8287111111111111,0.55343642578125,0.8078,0.09704403844771128,6.224037284962833,84.18606658000499
13,0.4785384114583333,0.8350888888888889,0.609900439453125,0.7882,0.09648882429441258,5.004725576378405,89.19085450330749
14,0.454183984375,0.8463777777777778,0.579837158203125,0.8018,0.09588773128419906,5.006193412933499,94.1971025490202
15,0.4448448784722222,0.8476666666666667,0.48699365234375,0.8336,0.09524135262330098,6.250578280072659,100.44773564301431
16,0.4325380208333333,0.8514666666666667,0.56766611328125,0.8094,0.0945503262094184,5.130722534842789,105.57852485310286
17,0.41828736979166664,0.8559111111111111,0.462463134765625,0.842,0.09381533400219319,6.232046328950673,111.81065385835245
18,0.41150438368055553,0.8597555555555556,0.51972861328125,0.8302,0.0930371013501972,5.048731608781964,116.85944933723658
19,0.39290460069444444,0.8666444444444444,0.4925380859375,0.8302,0.09221639627510078,5.034183271229267,121.89368431502953
20,0.3857843315972222,0.8682222222222222,0.678592431640625,0.7784,0.09135402871372812,5.105274472851306,126.99900990305468
21,0.3772496527777778,0.8709333333333333,0.699956396484375,0.777,0.09045084971874741,5.0714160008355975,132.07048672810197
22,0.368090625,0.8735333333333334,0.511351806640625,0.829,0.08950775061878455,5.108873562887311,137.17941133724526
23,0.3596298611111111,0.8761111111111111,0.479615185546875,0.8428,0.0885256621387895,6.292896163184196,143.47278703004122
24,0.3563715928819444,0.8770444444444444,0.502096435546875,0.841,0.08750555348152302,5.009125872049481,148.4819753789343
25,0.34732634548611113,0.8802,0.446595556640625,0.8496,0.08644843137107061,6.06735737901181,154.54938542703167
26,0.3424927734375,0.8821555555555556,0.698099658203125,0.7886,0.0853553390593274,5.064834548160434,159.61427929624915
27,0.3329873480902778,0.8855111111111111,0.4302259765625,0.856,0.08422735529643446,6.388325601350516,166.00265912991017
28,0.32915015190972224,0.8867555555555555,0.433660107421875,0.857,0.08306559326618262,6.971182583365589,172.97390690492466
29,0.3206396267361111,0.8904,0.424473974609375,0.8502,0.08187119948743452,5.0640683197416365,178.03804124891758
30,0.31672083333333334,0.8909555555555555,0.3980133056640625,0.8668,0.08064535268264886,6.393019218929112,184.43111434904858
